"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL246C",4.92006401108327,-0.740011877921212,1.59907010550855,-0.462776381955978,0.643524662019613,NA
"YDL243C",128.772179125901,-0.0808631773472988,0.304204799908071,-0.265818216450678,0.790379213094788,0.913994144678881
"YDR387C",609.015091302274,-0.128767089591668,0.159413680932887,-0.807754320947388,0.419232025864088,0.672886026035797
"YDL094C",120.683976194983,-0.453061767337078,0.314684003178332,-1.43973561655858,0.149942212652958,0.375694134611438
"YDR438W",394.359183183259,-0.0925983429860739,0.216738485580196,-0.42723535111078,0.669207915288569,0.84561272299702
"YDR523C",44.3623740848804,-0.0835018980584605,0.512171697167415,-0.163034971514964,0.870490899746787,NA
"YDR542W",2.56232508754938,-0.640002999708459,2.09565278881191,-0.305395532659443,0.760064923804127,NA
"YDR492W",1846.41306813491,0.0903817667684477,0.0982456235588589,0.919957179713965,0.357595136377817,0.620425071385279
"YDR018C",58.7111112809817,0.384815259106262,0.453581881606942,0.848392042783865,0.396219672672119,0.651765073404384
"YDL189W",392.651531186828,0.444999883675302,0.214344854091636,2.07609315166977,0.0378853364408397,0.153280838640261
"YDR508C",5463.39735567066,-0.211812385823393,0.0752818897055712,-2.81359018286861,0.0048991641983024,0.0335395104040262
"YDR462W",246.901919101115,0.460347530828062,0.228835138616805,2.01169948641033,0.0442516247957939,0.171567266778193
"YDR175C",401.709947619313,0.0294922460690613,0.175740278563998,0.167817226136474,0.866727070195116,0.947481198759377
"YDR186C",1595.38707476523,0.175819507743009,0.0997964286483922,1.76178155996408,0.0781062114719052,0.250371606127536
"YDR150W",2863.28515660695,0.0746941544715368,0.0823711254990328,0.906800216932981,0.364512455165815,0.627310924686099
"YDR243C",385.968366453321,-0.405391955897329,0.195860666557868,-2.06979769354331,0.0384712934651805,0.155008988543798
"YDL182W",1263.13897608213,0.241725834251745,0.141513952390974,1.70814135403345,0.0876101172039034,0.270909252535538
"YDR362C",501.393128255763,-0.442976377993067,0.17539694023454,-2.52556502639511,0.0115512402034202,0.0654342236964748
"YDR232W",4809.23603550101,-0.110522015688496,0.0830865353964132,-1.33020368656829,0.183451169855861,0.423639814924875
"YDR158W",10265.2771061301,-0.168459307919168,0.0616777134686673,-2.73128328605674,0.00630882172697658,0.0406653250352544
"YDR439W",188.090003335872,0.16966559045535,0.271849708385347,0.624115403555443,0.53255179859673,0.755926878071111
"YDL206W",513.244049735331,-0.329312652793121,0.156694585037332,-2.10162114226643,0.0355864763258714,0.146863897889171
"YDR125C",146.188953720444,-0.114341752824369,0.282439108753725,-0.40483682776407,0.685597456207569,0.857073676335303
"YDR338C",565.835665484547,-0.11459297993172,0.15224887851048,-0.752668795020599,0.451648966058314,0.698986083125802
"YDR526C",3.36512575940763,-0.972851672917554,1.81708309059905,-0.535391957555902,0.592378850235284,NA
"YDR533C",418.448133426835,0.339920373430915,0.176266374129327,1.92844707398086,0.0537995413773338,0.195074514624813
"YDR272W",449.897544869401,0.164329717917545,0.168125849920191,0.977420890336331,0.328360824976519,0.592022092681425
"YDR197W",420.001042391778,-0.252534651059541,0.178393437799775,-1.41560504788848,0.156891172550603,0.385794930594129
"YDR512C",248.216356216404,0.482865084018948,0.226531296898676,2.13156014479944,0.0330430231080053,0.140182522276386
"YDR489W",374.058566219352,-0.189631574553498,0.18602671467186,-1.01937818386997,0.308023459213747,0.570980262031441
"YDR299W",739.490848386896,0.35803192099559,0.135956370770448,2.63343246783264,0.0084526643229135,0.0508977636648555
"YDL015C",3426.39427576782,-0.221661316994595,0.0919074255997582,-2.41178898819225,0.0158744659168029,0.0833930667299214
"YDR304C",2716.40115459735,-0.0287698076010146,0.0836830500414066,-0.34379492127473,0.731000519924486,0.883857834016926
"YDR271C",0.0871586037112448,-1.15262414225357,4.9849467306839,-0.231220954711273,0.817143151539797,NA
"YDL181W",344.244473950287,-0.63620621645609,0.187726706042371,-3.38900218231334,0.000701474522328404,0.00679656439766389
"YDR367W",1007.00753673065,-0.426415146571308,0.136690017978928,-3.11957780733517,0.00181110421284754,0.0151150277078185
"YDR085C",227.476724927851,0.0817384329911273,0.239291697830681,0.341584909681924,0.732663295167899,0.884630110595135
"YDL097C",1861.25976201248,0.289128665912508,0.0947490813494368,3.05151946377395,0.00227686286148746,0.0182149028918997
"YDL139C",64.7748253146881,1.02640959597672,0.469292432554496,2.18714286610094,0.0287320961914423,0.12759693788428
"YDR200C",195.834823441664,0.374109464147018,0.252997817991857,1.47870628733667,0.139218831194083,0.360603818079032
"YDR191W",111.07237598598,0.420153565568087,0.339539176119746,1.23742294002596,0.215930106627621,0.46759806539624
"YDR451C",611.161846542948,0.475586854796657,0.155345568511984,3.06147680524256,0.00220248055622172,0.0176956830915949
"YDR469W",199.923118993431,0.408816227412607,0.262655719959898,1.55647182355299,0.11959593772667,0.327733353254138
"YDR470C",496.535739843338,-0.0196215924872661,0.167159809524143,-0.117382237651044,0.906557159060498,0.960590367216422
"YDR105C",1068.77415549039,-0.0580815953228248,0.117496129923308,-0.494327731140896,0.621074743512276,0.817780052590817
"YDR483W",3933.42327461556,-0.377055602832255,0.0746135402512322,-5.05344742472567,4.33905798565115e-07,9.38174699600249e-06
"YDL123W",291.253576477614,0.334575563852156,0.219845019535246,1.52187010904068,0.128041630153664,0.342422697641126
"YDL199C",230.03531738835,0.0431392608977168,0.241410783833281,0.178696494881972,0.858176021565063,0.944533357068466
"YDR505C",1054.90185865876,0.0570832727226783,0.124019068698477,0.4602781920695,0.645316552413569,0.831769144879344
"YDL045W-A",396.483173663,0.441127997340761,0.190487385077064,2.31578588347096,0.0205699623766793,0.0997506428977824
"YDL045C",290.347125030395,0.110503598271008,0.205274432576506,0.538321294493521,0.59035525252754,0.797254380685942
"YDR361C",764.524412210747,-0.0950306462551107,0.134583788730523,-0.706107675757223,0.480121178678708,0.720495291045826
"YDR406W-A",1.50906773931337,1.07259982854938,2.69511914282587,0.397978631632865,0.690645937041876,NA
